Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.1 - Primary Enrolment and Gross Enrolment Ratio1 by sex, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1972 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Island of Mauritius,,,,,,,,,Island of Rodrigues,,,,,,,,,Republic of Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enrolment,,,Population (6 - 11),,,Gross Enrolment Ratio,,,Enrolment,,,Population (6 - 11),,,Gross Enrolment Ratio,,,Enrolment,,,Population (6 - 11),,,Gross Enrolment Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,"151,614","77,401","74,213","142,800","72,239","70,561",106,107,105,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,"150,656","76,812","73,844","142,695","72,107","70,588",106,107,105,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,"148,142","75,546","72,596","139,965","70,663","69,302",106,107,105,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,"145,475","74,220","71,255","135,568","68,351","67,217",107,109,106,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,"139,439","71,077","68,362","131,453","66,368","65,085",106,107,105,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,"136,019","69,425","66,594","126,492","63,838","62,654",108,109,106,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,"133,432","68,456","64,976","120,768","60,828","59,940",110,113,108,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,"125,165","63,931","61,234","116,539","58,582","57,957",107,109,106,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,"123,710","63,203","60,507","114,400","57,328","57,072",108,110,106,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"130,145","66,045","64,100","115,372","57,873","57,499",113,114,111,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,"131,594","66,787","64,807","114,521","57,541","56,980",115,116,114,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,"133,255","67,509","65,746","118,192","59,511","58,681",113,113,112,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,"129,744","65,574","64,170","121,486","62,007","59,479",107,106,108,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,"135,012","68,367","66,645","127,009","64,746","62,263",106,106,107,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,"138,765","70,342","68,423","130,044","66,720","63,324",107,105,108,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,"137,935","69,824","68,111","133,219","67,871","65,348",104,103,104,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,"134,136","67,988","66,148","135,744","69,105","66,639",99,98,99,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,"131,626","66,698","64,928","133,694","68,428","65,266",98,97,99,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,"131,203","66,431","64,772","126,962","64,210","62,752",103,103,103,"6,288","3,124","3,164","6,226","3,108","3,118",101,101,101,"137,491","69,555","67,936","133,188","67,318","65,870",103,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,"129,154","65,468","63,686","122,234","61,981","60,253",106,106,106,"6,079","3,045","3,034","6,055","2,985","3,070",100,102,99,"135,233","68,513","66,720","128,289","64,966","63,323",105,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,"123,931","62,757","61,174","116,056","58,962","57,094",107,106,107,"5,807","2,915","2,892","5,703","2,827","2,876",102,103,101,"129,738","65,672","64,066","121,759","61,789","59,970",107,106,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,"120,002","60,758","59,244","111,577","56,810","54,767",108,107,108,"5,541","2,785","2,756","5,336","2,650","2,686",104,105,103,"125,543","63,543","62,000","116,913","59,460","57,453",107,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,"117,919","59,769","58,150","109,503","55,794","53,709",108,107,108,"5,248","2,667","2,581","5,031","2,525","2,506",104,106,103,"123,167","62,436","60,731","114,534","58,319","56,215",108,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"117,795","59,710","58,085","109,833","56,001","53,832",107,107,108,"5,100","2,590","2,510","4,890","2,435","2,455",104,106,102,"122,895","62,300","60,595","114,723","58,436","56,287",107,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"119,655","60,693","58,962","111,725","56,918","54,807",107,107,108,"4,934","2,517","2,417","4,613","2,325","2,288",107,108,106,"124,589","63,210","61,379","116,338","59,243","57,095",107,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"122,312","61,953","60,359","115,012","58,547","56,465",106,106,107,"4,797","2,433","2,364","4,560","2,328","2,232",105,105,106,"127,109","64,386","62,723","119,572","60,875","58,697",106,106,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"125,681","63,601","62,080","119,175","60,726","58,449",105,105,106,"4,824","2,433","2,391","4,537","2,310","2,227",106,105,107,"130,505","66,034","64,471","123,712","63,036","60,676",105,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,"128,745","65,156","63,589","123,049","62,506","60,543",105,104,105,"4,744","2,403","2,341","4,407","2,255","2,152",108,107,109,"133,489","67,559","65,930","127,456","64,761","62,695",105,104,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"130,464","66,303","64,161","124,952","63,414","61,538",104,105,104,"4,773","2,408","2,365","4,565","2,286","2,279",105,105,104,"135,237","68,711","66,526","129,517","65,700","63,817",104,105,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"129,350","65,655","63,695","122,741","62,037","60,704",105,106,105,"4,735","2,359","2,376","4,501","2,245","2,256",105,105,105,"134,085","68,014","66,071","127,241","64,282","62,959",105,106,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"127,785","64,766","63,019","122,475","61,782","60,693",104,105,104,"4,647","2,273","2,374","4,546","2,272","2,274",102,100,104,"132,432","67,039","65,393","127,021","64,054","62,967",104,105,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"124,933","63,320","61,613","121,411","61,346","60,065",103,103,103,"4,683","2,304","2,379","4,589","2,296","2,293",102,100,104,"129,616","65,624","63,992","126,000","63,642","62,358",103,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"121,526","61,666","59,860","119,975","60,716","59,259",101,102,101,"4,700","2,353","2,347","4,632","2,321","2,311",101,101,102,"126,226","64,019","62,207","124,606","63,037","61,569",101,102,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"118,737","60,335","58,402","118,463","60,059","58,404",100,100,100,"4,825","2,394","2,431","4,675","2,345","2,330",103,102,104,"123,562","62,729","60,833","123,138","62,404","60,734",100,101,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"116,513","59,229","57,284","117,372","59,557","57,815",99,99,99,"4,874","2,458","2,416","4,720","2,372","2,348",103,104,103,"121,387","61,687","59,700","122,092","61,929","60,163",99,100,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"114,404","58,137","56,267","115,496","58,582","56,914",99,99,99,"4,906","2,504","2,402","4,763","2,396","2,367",103,105,101,"119,310","60,641","58,669","120,259","60,978","59,281",99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"114,007","58,128","55,879","114,266","57,953","56,313",100,100,99,"5,015","2,565","2,450","4,807","2,422","2,385",104,106,103,"119,022","60,693","58,329","119,073","60,375","58,698",100,101,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"112,884","57,369","55,515","113,168","57,465","55,703",100,100,100,"5,038","2,579","2,459","4,848","2,446","2,402",104,105,102,"117,922","59,948","57,974","118,016","59,911","58,105",100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"112,309","57,068","55,241","111,782","56,763","55,019",100,101,100,"5,123","2,604","2,519","4,894","2,472","2,422",105,105,104,"117,432","59,672","57,760","116,676","59,235","57,441",101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"110,907","56,263","54,644","111,143","56,467","54,676",100,100,100,"5,161","2,672","2,489","5,062","2,574","2,488",102,104,100,"116,068","58,935","57,133","116,205","59,041","57,164",100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"108,519","55,147","53,372","109,335","55,596","53,739",99,99,99,"5,115","2,601","2,514","5,008","2,532","2,476",102,103,102,"113,634","57,748","55,886","114,343","58,128","56,215",99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"103,641","52,389","51,252","106,199","54,069","52,130",98,97,98,"5,212","2,633","2,579","5,039","2,517","2,522",103,105,102,"108,853","55,022","53,831","111,238","56,586","54,652",98,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"100,221","50,601","49,620","103,264","52,527","50,737",97,96,98,"5,079","2,559","2,520","5,019","2,509","2,510",101,102,100,"105,300","53,160","52,140","108,283","55,036","53,247",97,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
