Back to Table of Contents,,,,,,,19,,,,,,,,,,,,,,,,,
"Table 3.3 - Number of Secondary schools, pupils, teachers and pupil/teacher ratio, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1967 - 2017",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,Island of Mauritius,,,,,,,Island of Rodrigues,,,,,,,Republic of Mauritius,,,,,,,,,
,Number of Schools,Enrolment,,,,Teacher,Pupil/Teacher Ratio,Number of Schools,Enrolment,,,,Teachers,Pupil/Teacher Ratio,Number of Schools,Enrolment,,,,Teachers,Pupil/Teacher Ratio,,,
,,State,Aided 1,Non-Aided,Total,,,,Govt,Aided 1,Non-Aided,Total,,,,Govt,Aided 1,Non-Aided,Total,,,,,
1967,141   ,"2,505   ","6,218   ","29,560   ","38,283   ","1,637   ",23,2,-,-,225,225,8,28,143,"2,505","6,218","29,785","38,508","1,645",23,,,
1968,135   ,"2,538   ","6,372   ","30,581   ","39,491   ","1,696   ",23,2,-,-,212,212,10,21,137,"2,538","6,372","30,793","39,703","1,706",23,,,
1969,139   ,"2,616   ","7,003   ","32,605   ","42,224   ","1,715   ",25,2,-,-,220,220,11,20,141,"2,616","7,003","32,825","42,444","1,726",25,,,
1970,137   ,"2,679   ","6,979   ","34,049   ","43,707   ","1,736   ",25,2,-,-,262,262,11,24,139,"2,679","6,979","34,311","43,969","1,747",25,,,
1971,137   ,"2,839   ","7,213   ","36,845   ","46,897   ","1,763   ",27,2,-,-,301,301,13,23,139,"2,839","7,213","37,146","47,198","1,776",27,,,
1972,128   ,"2,937   ","7,494   ","41,599   ","52,030   ","1,733   ",30,2,-,-,300,300,13,23,130,"2,937","7,494","41,899","52,330","1,746",30,,,
1973,124   ,"2,965   ","7,819   ","44,835   ","55,619   ","1,859   ",30,2,-,-,274,274,11,25,126,"2,965","7,819","45,109","55,893","1,870",30,,,
1974,124   ,"3,157   ","8,079   ","48,880   ","60,116   ","1,910   ",31,1,-,-,325,325,11,30,125,"3,157","8,079","49,205","60,441","1,921",31,,,
1975,125   ,"3,296   ","55,751   ","4,095   ","63,142   ","2,065   ",31,1,-,-,330,330,10,33,126,"3,296","55,751","4,425","63,472","2,075",31,,,
1976,126   ,"3,459   ","60,073   ","3,388   ","66,920   ","2,123   ",32,1,-,344,-,344,12,29,127,"3,459","60,417","3,388","67,264","2,135",32,,,
1977,130   ,"3,809   ","70,621   ","3,608   ","78,038   ","2,439   ",32,1,-,391,-,391,13,30,131,"3,809","71,012","3,608","78,429","2,452",32,,,
1978,141   ,"5,564   ","74,842   ",73   ,"80,479   ","2,769   ",29,1,-,460,-,460,18,26,142,"5,564","75,302",73,"80,939","2,787",29,,,
1979,148   ,"7,673   ","74,204   ",69   ,"81,946   ","3,042   ",27,2,355,315,-,670,24,28,150,"8,028","74,519",69,"82,616","3,066",27,,,
1980,148   ,"9,692   ","71,128   ",61   ,"80,881   ","3,075   ",26,2,461,314,-,775,26,30,150,"10,153","71,442",61,"81,656","3,101",26,,,
1981,147   ,"11,311   ","66,963   ",58   ,"78,332   ","3,093   ",25,2,626,356,-,982,28,35,149,"11,937","67,319",58,"79,314","3,121",25,,,
1982,148   ,"13,199   ","63,033   ",76   ,"76,308   ","3,144   ",24,2,690,444,-,"1,134",31,37,150,"13,889","63,477",76,"77,442","3,175",24,,,
1983,127   ,"14,893   ","60,988   ",82   ,"75,963   ","2,961   ",26,2,673,552,-,"1,225",49,25,129,"15,566","61,540",82,"77,188","3,010",26,,,
1984,126   ,"15,151   ","57,522   ",57   ,"72,730   ","3,497   ",21,2,610,621,-,"1,231",66,19,128,"15,761","58,143",57,"73,961","3,563",21,,,
1985,125   ,"15,263   ","55,217   ",71   ,"70,551   ","3,538   ",20,2,536,599,-,"1,135",65,17,127,"15,799","55,816",71,"71,686","3,603",20,,,
1986,125   ,"15,287   ","53,246   ",71   ,"68,604   ","3,572   ",19,2,599,516,-,"1,115",59,19,127,"15,886","53,762",71,"69,719","3,631",19,,,
1987,125   ,"15,469   ","54,254   ",102   ,"69,825   ","3,627   ",19,2,708,526,-,"1,234",56,22,127,"16,177","54,780",102,"71,059","3,683",19,,,
1988,125   ,"15,322   ","56,931   ",136   ,"72,389   ","3,643   ",20,2,858,518,-,"1,376",57,24,127,"16,180","57,449",136,"73,765","3,700",20,,,
1989,125   ,"15,625   ","60,378   ",153   ,"76,156   ","3,700   ",21,2,-,"1,584",-,"1,584",57,28,127,"15,625","61,962",153,"77,740","3,757",21,,,
1990,122   ,"15,227   ","60,961   ",252   ,"76,440   ","3,668   ",21,2,-,"1,670",-,"1,670",60,28,124,"15,227","62,631",252,"78,110","3,728",21,,,
1991,123   ,"16,495   ","62,462   ",370   ,"79,327   ","3,883   ",20,2,-,"1,763",-,"1,763",66,27,125,"16,495","64,225",370,"81,090","3,949",21,,,
1992,120   ,"17,014   ","64,201   ",491   ,"81,706   ","3,981   ",21,2,-,"1,885",-,"1,885",69,27,122,"17,014","66,086",491,"83,591","4,050",21,,,
1993,120   ,"17,664   ","67,253   ",605   ,"85,522   ","4,075   ",21,3,-,"2,139",-,"2,139",85,25,123,"17,664","69,392",605,"87,661","4,160",21,,,
1994,120   ,"18,189   ","68,294   ",694   ,"87,177   ","4,141   ",21,3,-,"2,404",-,"2,404",93,26,123,"18,189","70,698",694,"89,581","4,234",21,,,
1995,120   ,"18,735   ","67,971   ","1,749   ","88,455   ","4,279   ",21,3,-,"2,649",-,"2,649",96,28,123,"18,735","70,620","1,749","91,104","4,375",21,,,
1996,127   ,"19,479   ","68,799   ","1,842   ","90,120   ","4,445   ",20,3,-,"2,917",-,"2,917",119,25,130,"19,479","71,716","1,842","93,037","4,564",20,,,
1997,127   ,"20,406   ","68,629   ","1,679   ","90,714   ","4,589   ",20,3,-,"3,125",-,"3,125",121,26,130,"20,406","71,754","1,679","93,839","4,710",20,,,
1998,130   ,"23,242   ","66,062   ","1,936   ","91,240   ","4,680   ",19,3,-,"3,124",-,"3,124",140,22,133,"23,242","69,186","1,936","94,364","4,820",20,,,
1999,132   ,"24,185   ","65,460   ","2,317   ","91,962   ","4,874   ",19,3,-,"3,225",-,"3,225",140,23,135,"24,185","68,685","2,317","95,187","5,014",19,,,
2000,131   ,"25,217   ","63,711   ","3,280   ","92,208   ","4,999   ",18,4,-,"3,240",-,"3,240",141,23,135,"25,217","66,951","3,280","95,448","5,140",19,,,
2001,132   ,"26,219   ","65,238   ","2,878   ","94,335   ","5,154   ",18,4,-,"3,312",-,"3,312",148,22,136,"26,219","68,550","2,878","97,647","5,302",18,,,
2002,139   ,"27,319   ","65,692   ","3,318   ","96,329   ","5,405   ",18,4,-,"3,358",-,"3,358",148,23,143,"27,319","69,050","3,318","99,687","5,553",18,,,
2003,169   ,"30,900   ","65,685   ","3,862   ","100,447   ","5,786   ",17,6,-,"3,400",-,"3,400",152,22,175,"30,900","69,085","3,862","103,847","5,938",17,,,
2004,170   ,"33,865   ","64,467   ","4,200   ","102,532   ","6,227   ",16,6,-,"3,456",-,"3,456",169,20,176,"33,865","67,923","4,200","105,988","6,396",17,,,
2005,182   ,"37,205   ","64,344   ","5,256   ","106,805   ","6,608   ",16,6,-,"3,482",-,"3,482",177,20,188,"37,205","67,826","5,256","110,287","6,785",16,,,
2006,183   ,"41,117   ","64,228   ","5,682   ","111,027   ","6,876   ",16,6,-,"3,630",-,"3,630",203,18,189,"41,117","67,858","5,682","114,657","7,079",16,,,
2007,181   ,"44,436   ","62,769   ","5,776   ","112,981   ","7,213   ",16,5,-,"3,725",-,"3,725",210,18,186,"44,436","66,494","5,776","116,706","7,423",16,,,
2008,175   ,"47,040   ","59,620   ","6,335   ","112,995   ","7,197   ",16,5,-,"3,508",-,"3,508",211,17,180,"47,040","63,128","6,335","116,503","7,408",16,,,
2009,174   ,"48,561   ","57,963   ","6,048   ","112,572   ","7,355   ",15,5,-,"3,654",-,"3,654",209,17,179,"48,561","61,617","6,048","116,226","7,564",15,,,
2010,177   ,"49,058   ","56,082   ","6,278   ","111,418   ","7,490   ",15,5,-,"3,585",-,"3,585",205,17,182,"49,058","59,667","6,278","115,003","7,695",15,,,
2011,175   ,"49,705   ","55,611   ","6,437   ","111,753   ","7,658   ",15,5,-,"3,536",-,"3,536",215,16,180,"49,705","59,147","6,437","115,289","7,873",15,,,
2012,172   ,"49,867   ","55,387   ","6,499   ","111,753   ","7,791   ",14,6,-,"3,924",-,"3,924",223,18,178,"49,867","59,311","6,499","115,677","8,014",14,,,
2013,170   ,"49,618   ","53,614   ","6,636   ","109,868   ","7,563   ",15,6,-,"4,004",-,"4,004",232,17,176,"49,618","57,618","6,636","113,872","7,795",15,,,
2014,170   ,"49,296   ","54,775   ","6,093   ","110,164   ","7,218   ",15,6,-,"4,075",-,"4,075",212,19,176,"49,296","58,850","6,093","114,239","7,430",15,,,
2015,170   ,"49,607   ","52,848   ","7,538   ","109,993   ","7,287   ",15,7,-,"4,318",-,"4,318",244,18,177,"49,607","57,166","7,538","114,311","7,531",15,,,
2016,166   ,"49,005   ","51,106   ","7,152   ","107,263   ","8,104   ",13,7,-,"4,600",-,"4,600",250,18,173,"49,005","55,706","7,152","111,863","8,354",13,,,
2017,168   ,"48,697   ","50,996   ","6,434   ","106,127   ","7,284   ",15,7,-,"4,455",-,"4,455",261,17,175,"48,697","55,451","6,434","110,582","7,545",15,,,
"1 As from 1975, with the implementation of Ramphul's report, a number of non-aided schools became aided",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,